date,open,high,low,close,volume,top_fractal,bottom_fractal,fractal_price,pen_type,pen_start,pen_end,pen_id,pen_length_kline,pen_price_change,pen_price_ratio,segment_type,segment_start,segment_end,segment_id,segment_length_pen,segment_price_change,segment_price_ratio,central_bank,central_bank_id,central_bank_type,central_bank_high,central_bank_low,central_bank_mid,central_bank_length,central_bank_overlap_ratio,ema12,ema26,macd,macd_signal,macd_hist,tr1,tr2,tr3,tr,atr,divergence,divergence_indicator,divergence_strength,divergence_count,signal,signal_strength,signal_source,signal_level,signal_conditions,fractal_strength,divergence_strength_score,structure_match_score,stop_loss_price,stop_loss_type
2025-07-25,1.174,1.175,1.163,1.174,540260849,False,False,1.216,up,False,False,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.14946798666502,1.1259418624673618,0.023526124197658094,0.020882376025136113,0.0026437481725219807,0.01200000000000001,0.001000000000000112,0.010999999999999899,0.01200000000000001,0.01742857142857141,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-28,1.174,1.194,1.173,1.192,677966266,False,False,1.216,up,False,False,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.15601137333194,1.1308350578401498,0.025176315491790113,0.021741163918466914,0.003435151573323199,0.020999999999999908,0.020000000000000018,0.0009999999999998899,0.020999999999999908,0.018071428571428565,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-29,1.188,1.206,1.183,1.205,664339476,False,False,1.216,up,False,False,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1635480851270261,1.136328757259398,0.02721932786762804,0.02283679670829914,0.004382531159328899,0.02299999999999991,0.014000000000000012,0.008999999999999897,0.02299999999999991,0.018142857142857127,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-30,1.204,1.216,1.176,1.188,890336652,True,False,1.216,up,False,True,3,6,0.06699999999999995,0.05831157528285461,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1673099181844067,1.140156256721665,0.027153661462741674,0.02370016965918765,0.003453491803554025,0.040000000000000036,0.010999999999999899,0.029000000000000137,0.040000000000000036,0.019857142857142844,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-31,1.183,1.196,1.175,1.186,837556959,False,False,1.161,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1701853153868056,1.1435520895570972,0.026633225829708396,0.0242867808932918,0.0023464449364165967,0.020999999999999908,0.008000000000000007,0.0129999999999999,0.020999999999999908,0.019857142857142844,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-08-01,1.182,1.183,1.162,1.167,787499850,False,False,1.161,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1696952668657585,1.145288971812127,0.024406295053631455,0.02431068372535973,9.56113282717247e-05,0.02100000000000013,0.0029999999999998916,0.02400000000000002,0.02400000000000002,0.020857142857142845,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-08-04,1.162,1.199,1.161,1.199,1064517022,False,True,1.161,up,True,False,4,6,0.08600000000000008,0.07407407407407414,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1742036873479496,1.1492675664927103,0.02493612085523922,0.02443577115133563,0.0005003497039035888,0.038000000000000034,0.03200000000000003,0.006000000000000005,0.038000000000000034,0.022428571428571416,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-08-05,1.204,1.218,1.198,1.205,772562179,False,False,1.256,up,False,False,4,6,0.08600000000000008,0.07407407407407414,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1789415816021112,1.1533958949006577,0.025545686701453407,0.024657754261359185,0.0008879324400942225,0.020000000000000018,0.018999999999999906,0.001000000000000112,0.020000000000000018,0.023071428571428552,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-08-06,1.205,1.247,1.202,1.247,1408785933,False,False,1.256,up,False,False,4,6,0.08600000000000008,0.07407407407407414,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1894121075094786,1.160329532315424,0.02908257519405466,0.02554271844789828,0.0035398567461563807,0.04500000000000015,0.04200000000000004,0.0030000000000001137,0.04500000000000015,0.02407142857142857,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-08-07,1.251,1.256,1.23,1.238,1058438097,True,False,1.256,up,False,False,4,6,0.08600000000000008,0.07407407407407414,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1968871678926356,1.1660829002920592,0.030804267600576418,0.02659502827843391,0.004209239322142507,0.026000000000000023,0.008999999999999897,0.017000000000000126,0.026000000000000023,0.024785714285714282,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
